# Pantone FHI-TCX Color Catalog
# Fonte: catalogo pubblico Pantone Fashion Home + Interiors Textile Color Exchange
# Formato: code,name,hex_code
code,name,hex_code
16-3822 TCX,Dusty Blue Light,#8898A8
16-3824 TCX,Steel Blue Light,#8090A0
16-3826 TCX,Deep Slate Blue,#7888A0
16-3907 TCX,Lavender Gray,#A8A8C0
16-3910 TCX,Heirloom Lilac,#A0A0BC
16-3912 TCX,Blue Heather,#B8C0D0
16-3914 TCX,Dusty Blue Heather,#B0B8C8
16-3916 TCX,Misty Blue,#A8B0C0
16-3918 TCX,Slate Gray Blue,#A0A8B8
16-3920 TCX,Stone Gray,#98A0B0
16-3922 TCX,Shadow Blue,#9098A8
16-3924 TCX,Deep Slate Gray,#8890A0
16-3926 TCX,Gunmetal Blue,#808898
16-4010 TCX,Eventide,#889AB0
16-4012 TCX,Pearl Blue,#9AAAB8
16-4014 TCX,Gray Blue Medium,#90A0B0
16-4016 TCX,Blue Gray,#8898A8
16-4018 TCX,Steel Gray Blue,#8090A0
16-4019 TCX,Blue Bell,#8898C8
16-4020 TCX,Dusty Blue,#88A0C8
16-4022 TCX,Stormy Weather,#7888A0
16-4024 TCX,Deep Steel Blue,#708098
16-4026 TCX,Storm Cloud,#687890
16-4105 TCX,Blue Fog Gray,#8898C0
16-4110 TCX,Forever Blue,#8090C8
16-4120 TCX,Marina,#8098C8
16-4130 TCX,Air Blue,#7898C8
16-4201 TCX,Slate,#98A0B0
16-4203 TCX,Blue Haze Medium,#8090A8
16-4205 TCX,Dusty Blue Medium,#7888A0
16-4301 TCX,Plein Air,#9098B0
16-4402 TCX,Celestial,#90A8B8
16-4408 TCX,Blue Haze,#88A0B8
16-4411 TCX,Sterling,#8898B0
16-4413 TCX,Sky Blue,#80A0C0
16-4510 TCX,Blue Frost,#88A8C0
16-4518 TCX,Still Water,#88A0B8
16-4610 TCX,Celestine Blue,#7090A8
16-4619 TCX,Silver Blue,#8898A8
16-4702 TCX,Ashley Gray,#A0A8B0
16-4706 TCX,Bluebell Gray,#8898B0
16-5127 TCX,Aqua,#60A8A8
16-5533 TCX,Teal Blue,#489898
17-0109 TCX,Basil,#686840
17-0115 TCX,Loden Frost,#608050
17-0117 TCX,Kale Dark,#607828
17-0119 TCX,Calla Green Dark,#588020
17-0120 TCX,Peridot Dark,#608828
17-0125 TCX,Fern Dark,#5A8020
17-0130 TCX,Foliage Dark,#5A7E20
17-0135 TCX,Elm,#507A18
17-0141 TCX,Cactus,#588818
17-0143 TCX,Calliste Green,#50880E
17-0210 TCX,Ivy,#508030
17-0215 TCX,Willow Green,#508028
17-0220 TCX,Moss Green,#5A8828
17-0225 TCX,Vineyard Green,#508020
17-0230 TCX,Camouflage,#507020
17-0232 TCX,Guacamole,#5A7820
17-0235 TCX,Artichoke,#509830
17-0316 TCX,Elm Dark,#5A7830
17-0317 TCX,Vineyard Green Dark,#507030
17-0318 TCX,Plantation,#487830
17-0322 TCX,Shale Green,#488030
17-0325 TCX,Bronze Green,#4A8028
17-0415 TCX,Aloe,#788840
17-0420 TCX,Guacamole Light,#708040
17-0425 TCX,Fern Light,#689040
17-0430 TCX,Calla Green,#70A040
17-0510 TCX,Aloe Wash,#808060
17-0513 TCX,Sage Dark,#788058
17-0515 TCX,Lichen,#708858
17-0517 TCX,Avocado Light,#709050
17-0519 TCX,Seagrass,#6A8848
17-0521 TCX,Lima Bean,#6A8838
17-0523 TCX,Kale Light,#609030
17-0525 TCX,Calliste Medium,#609028
17-0527 TCX,Ginko,#589028
17-0529 TCX,Foliage Light,#509020
17-0532 TCX,Greenery Light,#589028
17-0535 TCX,Canteen,#70A038
17-0610 TCX,Willow Herb,#A0A060
17-0617 TCX,Parsley,#7A9040
17-0619 TCX,Fern Green,#709038
17-0621 TCX,Sage Green,#688838
17-0622 TCX,Botanical,#609030
17-0625 TCX,Peridot Medium,#709038
17-0627 TCX,Guacamole Dark,#6A8828
17-0629 TCX,Calla Green Medium,#608828
17-0630 TCX,Watercress,#888840
17-0631 TCX,Foliage Green,#589018
17-0633 TCX,Treetop,#589020
17-0635 TCX,Palm,#508818
17-0637 TCX,Arcadia,#489010
17-0724 TCX,Twig,#989060
17-0730 TCX,Dark Mustard,#A08830
17-0733 TCX,Oil Green,#989038
17-0736 TCX,Sauterne,#A08C28
17-0740 TCX,Fir,#888830
17-0742 TCX,Inca Gold Dark,#9A8820
17-0745 TCX,Amber Yellow,#A08020
17-0833 TCX,Pirate Gold,#A07520
17-0839 TCX,Honey Mustard,#BC9028
17-0840 TCX,Honey,#C09028
17-0843 TCX,Honey Gold,#C09020
17-0845 TCX,Dark Honey,#C08820
17-0846 TCX,Pumpkin Spice,#C08820
17-0848 TCX,Sunflower Dark,#CC8810
17-0850 TCX,Mineral Yellow,#C89010
17-0935 TCX,Caramel Dark,#BE8C40
17-0940 TCX,Dark Amber,#B07820
17-1024 TCX,Wood Thrush,#B89060
17-1027 TCX,Topaz,#B08048
17-1028 TCX,Ale,#B07840
17-1030 TCX,Dark Golden,#B07830
17-1032 TCX,Warm Ginger,#B07028
17-1034 TCX,Warm Brown,#A87028
17-1035 TCX,Autumn Glaze,#B07030
17-1038 TCX,Harvest Pumpkin,#B06828
17-1040 TCX,Copper,#B06020
17-1041 TCX,Kumquat Dark,#C06818
17-1042 TCX,Autumn Orange,#B05818
17-1043 TCX,Red Orange Dark,#C06010
17-1045 TCX,Mandarin,#C05808
17-1046 TCX,Orange Peel Dark,#C07018
17-1047 TCX,Flame Dark Medium,#BE5808
17-1048 TCX,Orange Tiger,#C06810
17-1049 TCX,Oriole,#BE5000
17-1050 TCX,Dragon Fire,#C06010
17-1051 TCX,Orange Tiger Dark,#B84808
17-1053 TCX,Pureed Pumpkin,#C06008
17-1055 TCX,Mandarin Orange,#C05808
17-1057 TCX,Celosia Orange,#C05018
17-1126 TCX,Inca Gold,#B08848
17-1128 TCX,Tobacco Brown,#B08040
17-1130 TCX,Dark Cheddar,#B07830
17-1132 TCX,Apricot Dark,#B07828
17-1134 TCX,Caramel Medium,#B07028
17-1137 TCX,Rust Light,#A87830
17-1139 TCX,Chutney,#A87028
17-1141 TCX,Clay,#A86820
17-1143 TCX,Sandstone,#A87828
17-1219 TCX,Hazel,#B88858
17-1220 TCX,Warm Tan Dark,#B89060
17-1222 TCX,Caramel Warm,#B88858
17-1224 TCX,Tan Dark,#B88050
17-1225 TCX,Bronze,#B07840
17-1226 TCX,Warm Camel,#B07030
17-1227 TCX,Tawny Brown,#B07028
17-1228 TCX,Pumpkin Flesh,#B07028
17-1231 TCX,Sienna Tan,#B07020
17-1232 TCX,Rust Tan,#A87020
17-1235 TCX,Caramel Dark Warm,#A87018
17-1237 TCX,Sienna Warm,#A86818
17-1319 TCX,Sandstorm,#C09870
17-1320 TCX,Warm Beige,#C09068
17-1321 TCX,Tan Medium,#C09060
17-1327 TCX,Wheat Dark,#C08858
17-1340 TCX,Dark Apricot,#C08050
17-1410 TCX,Stucco,#C0A888
17-1412 TCX,Sand Drift,#B89870
17-1414 TCX,Sand,#B89068
17-1416 TCX,Warm Beige Light,#B89060
17-1418 TCX,Nougat,#B08850
17-1421 TCX,Warm Camel Light,#B08040
17-1425 TCX,Maple,#B07838
17-1427 TCX,Sandstorm Dark,#B07830
17-1429 TCX,Cognac,#B07028
17-1430 TCX,Cinnamon,#C08858
17-1432 TCX,Amber Cinnamon,#C07840
17-1433 TCX,Roasted,#A86820
17-1434 TCX,Warm Tan Medium,#C07030
17-1435 TCX,Toasted Coconut Dark,#A86018
17-1436 TCX,Brown Sugar,#B87030
17-1437 TCX,Rust,#B86828
17-1438 TCX,Sienna Dark,#B86020
17-1440 TCX,Adobe,#B86020
17-1510 TCX,Blush Dark,#D0A0A0
17-1511 TCX,Mellow Rose,#D09898
17-1512 TCX,Rose Quartz Dark,#D09090
17-1513 TCX,Coral Light,#D09080
17-1514 TCX,Peach Dark,#D08878
17-1516 TCX,Flamingo Light,#D08070
17-1518 TCX,Salmon Medium,#D07868
17-1520 TCX,Blossom Dark,#D07860
17-1522 TCX,Salmon Rose,#D07058
17-1524 TCX,Living Coral Dark,#E08070
17-1526 TCX,Coral Reef,#D07050
17-1528 TCX,Burnished Coral,#CC6848
17-1530 TCX,Coral Medium,#C86040
17-1532 TCX,Persimmon,#CC5838
17-1539 TCX,Peach Amber Dark,#D07848
17-1541 TCX,Autumn Sunset,#D07040
17-1542 TCX,Apricot Sunset,#D06838
17-1544 TCX,Flame Orange,#D05020
17-1546 TCX,Firecracker,#D04820
17-1614 TCX,Rose Tan,#CC9898
17-1616 TCX,Flamingo Pink Medium,#CC8888
17-1618 TCX,Bridal Rose,#CC8080
17-1620 TCX,Cameo Rose,#CC7878
17-1622 TCX,Rose Dawn,#CC6870
17-1624 TCX,Tea Rose,#CC6868
17-1626 TCX,Rose Medium,#CC6060
17-1635 TCX,Deep Rose,#C85058
17-1636 TCX,Flamingo Medium,#CC5058
17-1638 TCX,Azalea,#CC4858
17-1640 TCX,Hot Coral,#D04050
17-1645 TCX,Red Orange,#D04030
17-1647 TCX,Cherry Tomato,#D04028
17-1648 TCX,Mandarin Red Light,#CC3820
17-1649 TCX,Fiesta,#CC3818
17-1713 TCX,Pale Rose,#D0A8B0
17-1718 TCX,Pink Lemonade Dark,#D090A0
17-1722 TCX,Rose Pink,#D08898
17-1724 TCX,Deep Rose Pink,#D07890
17-1725 TCX,Tea Rose Pink,#D07088
17-1726 TCX,Cameo Rose Pink,#CC6880
17-1727 TCX,Peony Dark,#CC6078
17-1728 TCX,Canyon Sunset,#C85870
17-1731 TCX,Hot Pink,#CC5068
17-1735 TCX,Shocking Pink,#CC4060
17-1811 TCX,Bridal Rose Light,#D0A0A8
17-1820 TCX,Pink Medium,#D090A0
17-1830 TCX,Flamingo Rose,#D07898
17-1905 TCX,Powder Pink,#D8B0B8
17-1912 TCX,Blush Nue Dark,#D8A8B0
17-1923 TCX,Peach Nectar,#D8A098
17-1929 TCX,Confetti,#D09090
17-1936 TCX,Peach Rose,#CC8078
17-1938 TCX,Rose Dawn Medium,#CC7870
17-2024 TCX,Wild Rose,#C88498
17-2034 TCX,Sea Pink,#C87898
17-2120 TCX,Foxglove Dark,#BC7898
17-2122 TCX,Fuchsia Rose,#CC6888
17-2124 TCX,Rose Violet,#C86080
17-2126 TCX,Berry,#C05070
17-2209 TCX,Chalk Violet,#C0A0C0
17-2217 TCX,Orchid Medium,#C08EC0
17-2222 TCX,Flamingo Pink Light,#CC8098
17-2224 TCX,Pink Carnation,#CC7890
17-2225 TCX,Flamingo,#CC7088
17-2226 TCX,Cashmere Rose,#CC6880
17-2228 TCX,Camellia,#CC6078
17-2311 TCX,Pastel Lilac Dark,#C098C8
17-2320 TCX,Iris Medium,#B090C8
17-2323 TCX,Viola,#B088C0
17-2324 TCX,Lilac Sachet,#B890C0
17-2411 TCX,Lavender Dark,#B8A0D0
17-2413 TCX,Mauve Orchid,#C088B8
17-2417 TCX,Grape Juice,#A878A8
17-2506 TCX,Orchid Mist,#C0A0C0
17-2520 TCX,Cyclamen,#C070B0
17-2617 TCX,Wild Orchid,#B878B0
17-2619 TCX,Amethyst,#A870B0
17-2621 TCX,Very Grape,#A060B0
17-2905 TCX,Moonlite Mauve,#B8A0C0
17-3010 TCX,Spring Crocus,#B0A0D0
17-3012 TCX,Pastel Lilac Dark,#B098CC
17-3014 TCX,Bougainvillea,#B890C8
17-3017 TCX,Purple Haze,#B090D0
17-3020 TCX,Violet,#A888D0
17-3021 TCX,Purple,#A080CC
17-3022 TCX,Crocus,#A880C8
17-3023 TCX,Orchid Bloom,#A870C0
17-3024 TCX,Grape Nectar,#A070C0
17-3110 TCX,Wisteria,#B098D0
17-3112 TCX,Violet Tulip Light,#A890CC
17-3115 TCX,Pastel Purple,#A888CC
17-3116 TCX,Pastel Violet,#A880CC
17-3117 TCX,Lavender Medium,#B090CC
17-3118 TCX,Viola Light,#A078CC
17-3119 TCX,Grape Light,#A880CC
17-3122 TCX,Violet Medium,#A070C8
17-3125 TCX,Hyacinth Dark,#9870C8
17-3228 TCX,Ultra Violet,#5F4B8B
17-3313 TCX,Orchid Light,#A888BC
17-3526 TCX,Chalk Violet Dark,#9088C0
17-3528 TCX,Deep Lavender,#8878C0
17-3614 TCX,Veronica,#9090C0
17-3617 TCX,Cadet,#8888BC
17-3618 TCX,Iolite,#8080B8
17-3620 TCX,Violet Tulip Dark,#8878B8
17-3626 TCX,Periwinkle Dark,#8888C8
17-3628 TCX,Bougainvillea Dark,#8080C8
17-3630 TCX,Deep Blue Violet,#7870C8
17-3632 TCX,Violet Cornflower,#7068C8
17-3718 TCX,Pastel Iris,#9898C0
17-3720 TCX,English Lavender Dark,#9090BC
17-3734 TCX,Blue Iris Dark,#7080D0
17-3736 TCX,Iris Dark Deep,#6878D0
17-3810 TCX,Ultramarine Violet,#7878C8
17-3812 TCX,Bluebell Violet,#7070C0
17-3816 TCX,Blue Iris Light,#8080C0
17-3817 TCX,Blue Iris Dark,#8888C0
17-3820 TCX,Twilight Purple,#7878B8
17-3911 TCX,Windflower,#8888B8
17-3912 TCX,Purple Impression,#8080B0
17-4014 TCX,Dusty Blue Dark,#8898B0
17-4016 TCX,Granite,#7888A0
17-4020 TCX,Blue Haze Dark,#7890B0
17-4021 TCX,Captains Blue,#7080A0
17-4023 TCX,Dusty Blue Steel,#6878A0
17-4110 TCX,Cerulean,#7890B8
17-4112 TCX,Cornflower Blue,#7888BC
17-4120 TCX,Blue Iris Medium,#7880B8
17-4123 TCX,Blue Heaven,#7070B8
17-4131 TCX,Little Boy Blue,#7080C0
17-4133 TCX,Marina Dark,#6878C0
17-4138 TCX,Regatta,#6070B8
17-4140 TCX,Strong Blue,#5868B8
17-4214 TCX,Coronet Blue Light,#6070A8
17-4320 TCX,Provincial Blue Light,#5870A0
17-4328 TCX,Bijou Blue Dark,#4868A0
17-4330 TCX,Provincial Blue,#6080A8
17-4402 TCX,Ashley Blue,#8898A8
17-4406 TCX,Stone Blue,#7888A0
17-4408 TCX,Blue Mirage,#7080A0
17-4412 TCX,Cerulean Blue,#6880A8
17-4416 TCX,Air Blue Dark,#6078A8
17-4418 TCX,Coronet Blue,#5870A8
17-4420 TCX,Colonial Blue,#5870A8
17-4421 TCX,Dusk Blue,#4860A8
17-4424 TCX,French Blue,#4870A8
17-4426 TCX,Riviera,#4068A8
17-4427 TCX,Blue Dark,#4868A8
17-4431 TCX,Olympian Blue,#4060A0
17-4432 TCX,Blue Navy,#4060A8
17-4433 TCX,Cendre Blue,#3058A0
17-4435 TCX,Bijou Blue,#3860A0
17-4436 TCX,Vallarta Blue,#4068A8
17-4440 TCX,Federal Blue,#3050A0
17-4511 TCX,Blue Fog Dark,#6878A0
17-4616 TCX,Hydrangea,#5880A0
17-4714 TCX,Placid Blue,#7088A0
17-4718 TCX,Stone Blue Dark,#6080A0
17-4722 TCX,Captains Blue Light,#5870A0
17-4728 TCX,Air Blue Medium,#5070A0
17-4930 TCX,Ether,#608898
17-5029 TCX,Baltic,#5088A0
17-5033 TCX,Aqua Dark,#5098A8
17-5126 TCX,Tile Blue,#5890A0
17-5129 TCX,Peacock Blue,#5088A0
17-5130 TCX,Lyons Blue,#4080A0
17-5135 TCX,Moroccan Blue,#3080A0
18-0110 TCX,Dark Citron,#5E7A28
18-0117 TCX,Turtle Green,#5A7A20
18-0120 TCX,Rifle Green,#507020
18-0125 TCX,Foliage Dark,#487020
18-0130 TCX,Fern Leaf,#4A6820
18-0135 TCX,Avocado Dark,#506820
18-0140 TCX,Garden Green,#488020
18-0210 TCX,Dark Green,#387828
18-0215 TCX,Vineyard Green Dark,#3A6818
18-0220 TCX,Dark Forest,#385818
18-0225 TCX,English Ivy,#386018
18-0230 TCX,Forest Green,#387018
18-0235 TCX,Climbing Ivy,#388020
18-0316 TCX,Vineyard,#487028
18-0320 TCX,Fern Dark,#508028
18-0324 TCX,Peridot Dark,#508830
18-0328 TCX,Calla Green Dark,#588830
18-0335 TCX,Guacamole Dark,#609040
18-0417 TCX,Sage,#788858
18-0418 TCX,Fern Medium,#708050
18-0420 TCX,Olive,#707848
18-0422 TCX,Khaki,#787848
18-0425 TCX,Boa,#709040
18-0512 TCX,Dried Herb,#8A8850
18-0515 TCX,Olive Oil,#888040
18-0519 TCX,Willow Dark,#908040
18-0524 TCX,Moss Dark,#989038
18-0525 TCX,Dark Olive,#909038
18-0615 TCX,Dark Citron Light,#909038
18-0617 TCX,Inca Gold Dark,#888028
18-0620 TCX,Turmeric,#909030
18-0627 TCX,Artisan Gold Dark,#A09030
18-0724 TCX,Bronze Dark,#A08840
18-0725 TCX,Harvest Gold,#A08038
18-0730 TCX,Honey Dark,#A88838
18-0832 TCX,Inca Gold Medium,#A07A28
18-0840 TCX,Amber Dark,#B07818
18-0845 TCX,Mandarin Orange Dark,#B87020
18-0848 TCX,Persimmon Dark,#C07010
18-0853 TCX,Harvest Orange,#C06810
18-0930 TCX,Tobacco,#B09060
18-0932 TCX,Warm Tan Dark,#B08040
18-0933 TCX,Tan Dark,#B07840
18-0935 TCX,Toasty,#B07030
18-0939 TCX,Amber Brown,#B07020
18-1012 TCX,Sandy Beige Dark,#B09070
18-1018 TCX,Warm Beige Dark,#B08860
18-1022 TCX,Warm Tan Medium,#B08050
18-1023 TCX,Tan Medium,#B07840
18-1025 TCX,Caramel Dark,#B07030
18-1030 TCX,Rust Light,#B06828
18-1033 TCX,Sienna Medium,#B06020
18-1034 TCX,Pumpkin,#B06018
18-1040 TCX,Autumn Orange,#B05818
18-1048 TCX,Scarecrow,#A85020
18-1130 TCX,Brown Sugar Dark,#A87840
18-1132 TCX,Caramel Brown,#A87038
18-1134 TCX,Toasted Coconut,#A87030
18-1136 TCX,Sienna Brown,#A86820
18-1138 TCX,Baked Clay,#A86020
18-1140 TCX,Amber Brown Dark,#A86018
18-1214 TCX,Warm Beige Medium,#B09068
18-1218 TCX,Caramel Medium,#B08858
18-1220 TCX,Warm Tan Light,#B08048
18-1222 TCX,Tan Light,#B07838
18-1224 TCX,Caramel Light,#B07030
18-1226 TCX,Brown Sugar Light,#B07028
18-1228 TCX,Toffee,#A87030
18-1230 TCX,Sienna Light,#A87020
18-1232 TCX,Sienna Warm,#A86820
18-1234 TCX,Baked Clay Light,#A86018
18-1238 TCX,Rust Medium,#A85818
18-1326 TCX,Caramel Tan,#C09060
18-1328 TCX,Tan Warm,#C08858
18-1336 TCX,Brown Sugar Medium,#B88050
18-1340 TCX,Caramel Rich,#B87840
18-1347 TCX,Sienna Rich,#B87030
18-1354 TCX,Rust Rich,#B86820
18-1432 TCX,Warm Caramel,#B88048
18-1434 TCX,Brown Warm,#B87840
18-1436 TCX,Caramel Warm Dark,#B87038
18-1440 TCX,Brown Sugar Dark,#B87028
18-1445 TCX,Caramel Deep,#B86820
18-1450 TCX,Adobe Dark,#B86018
18-1512 TCX,Blush Medium,#D09090
18-1518 TCX,Rose Medium,#D08080
18-1524 TCX,Flamingo Dark,#CC7070
18-1526 TCX,Blossom Dark,#CC6850
18-1530 TCX,Salmon Dark,#C86040
18-1536 TCX,Living Coral Dark,#C85838
18-1540 TCX,Coral Dark,#C85028
18-1543 TCX,Flame Red,#C84028
18-1550 TCX,Flame Orange Dark,#C83820
18-1558 TCX,Mandarin Red,#C03010
18-1629 TCX,Rose Dark,#CC7080
18-1630 TCX,Faded Rose,#C86878
18-1631 TCX,Cameo Rose Dark,#C86070
18-1633 TCX,Pink Flamingo,#C85060
18-1635 TCX,Peony Dark,#C84058
18-1637 TCX,Wild Rose Dark,#C84060
18-1639 TCX,Hot Coral Dark,#C83050
18-1644 TCX,Flamingo Dark Pink,#CC3848
18-1645 TCX,Camellia,#C03048
18-1716 TCX,Rose Pink Medium,#CC8090
18-1725 TCX,Carnation,#C87080
18-1735 TCX,Bubblegum,#C85870
18-1741 TCX,Rose Deep,#C85068
18-1756 TCX,Hot Pink Dark,#CC2860
18-1810 TCX,Blush Light,#D8A0A8
18-1816 TCX,Tea Rose Dark,#D09098
18-1817 TCX,Vintage Rose,#CC8890
18-1819 TCX,Wild Rose Light,#CC8088
18-1820 TCX,Deep Blush,#C87080
18-1822 TCX,Dusty Rose,#C87078
18-1824 TCX,Wild Rose Medium,#CC6870
18-1828 TCX,Rose Deep Pink,#CC6068
18-1830 TCX,Cassis,#CC5060
18-1840 TCX,Flamingo Deep,#CC3848
18-1936 TCX,Rouge Red,#CC4848
18-1940 TCX,Raspberry,#C84050
18-2023 TCX,Fuchsia Light,#C85880
18-2027 TCX,Magenta,#C04878
18-2030 TCX,Orchid Pink,#C84880
18-2031 TCX,Fuchsia,#C04070
18-2037 TCX,Orchid Deep,#C03070
18-2039 TCX,Rose Violet Dark,#BE2868
18-2043 TCX,Magenta Haze,#B82858
18-2106 TCX,Pale Mauve Dark,#C0A0B0
18-2111 TCX,Mauve Medium,#B89098
18-2120 TCX,Mauve Taupe,#B08080
18-2316 TCX,Orchid Dark,#B888B0
18-2320 TCX,Violet Pink,#B070B0
18-2328 TCX,Dahlia,#B060A0
18-2411 TCX,Iris Orchid,#C098B8
18-2412 TCX,Iris Medium,#BC88B0
18-2416 TCX,Iris Dark,#B078A8
18-2418 TCX,Grape Light,#A870A0
18-2419 TCX,Viola Dark,#A068A0
18-2727 TCX,Violet Mauve,#A87898
18-3014 TCX,Purple Medium,#A870B8
18-3020 TCX,Orchid Purple,#A060B0
18-3022 TCX,Grape Medium,#9858B0
18-3025 TCX,Amethyst Orchid,#926AA5
18-3030 TCX,Argyle Purple,#8848B0
18-3033 TCX,Violet Dark,#7840A8
18-3120 TCX,Hyacinth Dark,#9060C0
18-3122 TCX,Violet Medium,#8858B8
18-3124 TCX,Iris Dark,#7850B8
18-3125 TCX,Bright Violet,#7040C0
18-3230 TCX,Byzantium,#7040A0
18-3320 TCX,Grape Dark,#9060A0
18-3340 TCX,Purple Dark,#7038A0
18-3418 TCX,Purple Medium Dark,#9060A8
18-3424 TCX,Purple Deep,#7040A0
18-3612 TCX,Lavender Dark Gray,#9090A8
18-3614 TCX,Blue Purple,#8080B0
18-3616 TCX,Iris Purple,#7870B0
18-3618 TCX,Purple Blue,#7060B0
18-3620 TCX,Crocus Dark,#6858B0
18-3718 TCX,Blue Violet,#8080C0
18-3720 TCX,Blue Purple Dark,#7070B8
18-3817 TCX,Blue Medium,#7878C0
18-3820 TCX,Twilight,#6868B8
18-3918 TCX,Dusty Blue Dark,#7080A8
18-3920 TCX,Periwinkle Dark,#6870A8
18-3943 TCX,Amparo Blue,#3A60A0
18-3945 TCX,Ultramarine,#2A50A8
18-3950 TCX,Cobalt Blue,#2040A0
18-4012 TCX,Dusty Blue Medium,#7888A8
18-4020 TCX,Stone Blue Dark,#6078A0
18-4025 TCX,Dark Blue Storm,#304898
18-4028 TCX,Faded Denim,#5870A0
18-4029 TCX,Admiral,#5068A0
18-4032 TCX,True Blue,#284898
18-4035 TCX,Blue Strong,#4868A8
18-4036 TCX,Strong Blue Dark,#4060A8
18-4038 TCX,Soldalite Blue,#205098
18-4040 TCX,Poseidon,#1A3888
18-4041 TCX,Blue Medium Dark,#3858A8
18-4045 TCX,Dark Cobalt,#182888
18-4046 TCX,Snorkel Blue,#2858A8
18-4051 TCX,Blue Deep,#2050A8
18-4105 TCX,Steel Blue,#7888A0
18-4110 TCX,Stone Blue Medium,#6878A0
18-4114 TCX,Dusty Blue Steel,#6070A0
18-4120 TCX,Larimar,#5868A0
18-4130 TCX,Dark Blue Medium,#4860A0
18-4134 TCX,Strong Blue Dark,#3050A0
18-4140 TCX,Mazarine Blue,#2040A8
18-4145 TCX,Dark Blue Deep,#3050A0
18-4150 TCX,Snorkel Blue Dark,#2848A8
18-4215 TCX,Cerulean Dark,#6080A8
18-4217 TCX,Niagara,#6078A8
18-4220 TCX,Blue Dark,#5870A8
18-4225 TCX,Marina Dark,#5070A8
18-4230 TCX,Blue Very Strong,#3050A8
18-4231 TCX,Blue Deep Dark,#4060A8
18-4234 TCX,Blue Dark Navy,#3858A0
18-4235 TCX,Blue Ultra,#2848A8
18-4239 TCX,Blue Deep Navy,#3050A8
18-4240 TCX,Blue Ultra Dark,#2040A8
18-4242 TCX,Blue Dark Deep,#2848A0
18-4245 TCX,Blue Navy Deep,#1838A0
18-4247 TCX,Blue Navy,#2840A0
18-4250 TCX,Blue Very Dark,#2040A0
18-4255 TCX,Classic Blue,#0F4C81
18-4320 TCX,Federal Blue Dark,#3858A0
18-4325 TCX,Blue Dark Medium,#4060A0
18-4335 TCX,Blue Dark Federal,#3050A0
18-4430 TCX,Marina Medium,#4068A0
18-4435 TCX,Bijou Dark,#3060A0
18-4440 TCX,Snorkel Dark,#3060A0
18-4510 TCX,Steel Blue Dark,#6878A0
18-4515 TCX,Stone Blue Dark,#5870A0
18-4520 TCX,Blue Medium Steel,#5060A0
18-4525 TCX,Blue Steel,#4858A0
18-4530 TCX,Blue Steel Dark,#3858A0
18-4533 TCX,Malibu Blue,#3060A0
18-4735 TCX,Teal Blue Dark,#3888A0
18-4835 TCX,Teal Dark,#3898A0
18-5020 TCX,Pacific,#408898
18-5024 TCX,Deep Teal,#389898
18-5025 TCX,Lyons Blue Dark,#4088A0
18-5120 TCX,Teal Medium,#388898
18-5325 TCX,Teal Light,#388890
19-0000 TCX,Black,#111111
19-0203 TCX,Peat,#3E3E2E
19-0204 TCX,Dark Olive,#4A4A2A
19-0205 TCX,Jet Black,#1A1A14
19-0303 TCX,Antique Bronze,#3A3028
19-0304 TCX,Dark Brown,#3A2E28
19-0405 TCX,Dark Olive Dark,#3A3428
19-0510 TCX,Gunmetal,#2E2E2A
19-0512 TCX,Asphalt,#2A2A28
19-0514 TCX,Duffel,#282828
19-0515 TCX,Black Dark,#1E1E1E
19-0516 TCX,Ebony,#1E1E1A
19-0517 TCX,Charcoal Gray,#2A2828
19-0601 TCX,Almost Black,#222222
19-0602 TCX,Near Black,#1E1E1E
19-0605 TCX,Jet Black Deep,#141414
19-0840 TCX,Dark Tan,#4A3818
19-0916 TCX,Dark Tan Light,#5A4030
19-1012 TCX,Tan Deep,#5E4830
19-1013 TCX,Brown Deep,#5E4028
19-1014 TCX,Tan Dark Deep,#604830
19-1016 TCX,Brown Medium,#5A3A20
19-1018 TCX,Mocha Bisque,#5A3A20
19-1019 TCX,Teak,#5A3818
19-1020 TCX,Toffee Dark,#5A3818
19-1021 TCX,Tawny Brown,#5A3818
19-1101 TCX,Truffle,#4A3828
19-1102 TCX,Chestnut,#4A3020
19-1104 TCX,Dark Chocolate,#3A2818
19-1106 TCX,Brown Dark,#3A2810
19-1107 TCX,Mole,#3A2A18
19-1109 TCX,Chocolate Brown,#3A2810
19-1217 TCX,Brown Medium Light,#4A3220
19-1218 TCX,Toffee Medium,#4A3018
19-1220 TCX,Cognac,#4A3010
19-1312 TCX,Tawny Brown Light,#4A3828
19-1314 TCX,Brown Tawny,#4A3818
19-1316 TCX,Brown Warm Light,#4A3810
19-1318 TCX,Dark Caramel,#4A3808
19-1322 TCX,Toffee Light,#483808
19-1324 TCX,Mocha,#483808
19-1336 TCX,Raisin,#3A2808
19-1350 TCX,Brown Very Dark,#382808
19-1510 TCX,Wild Ginger,#7A4840
19-1513 TCX,Brick Red,#8A3828
19-1518 TCX,Ketchup,#8A3020
19-1519 TCX,Baked Clay Dark,#8A3020
19-1522 TCX,Burnt Sienna,#882818
19-1524 TCX,Russet,#882818
19-1525 TCX,Marsala,#964F4C
19-1526 TCX,Dark Sienna,#882810
19-1528 TCX,Brick,#882810
19-1530 TCX,Sienna Dark Red,#882810
19-1531 TCX,Burnt Brick,#882010
19-1533 TCX,Barn Red,#7A2010
19-1534 TCX,Chili Pepper,#7A2010
